Date : 2025-07-29 18:39:13
Directory : c:\Users\李子林\Desktop\aigc\项目\emocloud1
Total : 302 files,  15325 codes, 936 comments, 1527 blanks, all 17788 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         89 |      4,858 |          8 |         55 |      4,921 |
| JavaScript |         58 |      4,778 |        778 |        462 |      6,018 |
| Markdown   |         96 |      2,915 |         10 |        578 |      3,503 |
| SCSS       |         18 |      1,038 |        137 |        138 |      1,313 |
| TypeScript |          1 |        658 |          1 |          6 |        665 |
| PostCSS    |         35 |        640 |          0 |        227 |        867 |
| XML        |          2 |        378 |          0 |         52 |        430 |
| HTML       |          3 |         60 |          2 |          9 |         71 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        302 |     15,325 |        936 |      1,527 |     17,788 |
| . (Files)                                                                                                                 |          6 |        280 |         16 |          9 |        305 |
| pages                                                                                                                     |          4 |        502 |         36 |         68 |        606 |
| pages\auth                                                                                                                |          2 |        301 |         35 |         33 |        369 |
| pages\auth\login                                                                                                          |          1 |        201 |         35 |         18 |        254 |
| pages\auth\register                                                                                                       |          1 |        100 |          0 |         15 |        115 |
| pages\home                                                                                                                |          1 |        101 |          1 |         16 |        118 |
| pages\settings                                                                                                            |          1 |        100 |          0 |         19 |        119 |
| static                                                                                                                    |          1 |         16 |          0 |          5 |         21 |
| uni_modules                                                                                                               |        229 |     13,988 |        834 |      1,342 |     16,164 |
| uni_modules\uni-badge                                                                                                     |          3 |        124 |          0 |          6 |        130 |
| uni_modules\uni-breadcrumb                                                                                                |          3 |        140 |          0 |         22 |        162 |
| uni_modules\uni-calendar                                                                                                  |          9 |        809 |        267 |         98 |      1,174 |
| uni_modules\uni-calendar (Files)                                                                                          |          3 |        186 |          0 |         32 |        218 |
| uni_modules\uni-calendar\components                                                                                       |          6 |        623 |        267 |         66 |        956 |
| uni_modules\uni-calendar\components\uni-calendar                                                                          |          6 |        623 |        267 |         66 |        956 |
| uni_modules\uni-calendar\components\uni-calendar (Files)                                                                  |          2 |        579 |        267 |         62 |        908 |
| uni_modules\uni-calendar\components\uni-calendar\i18n                                                                     |          4 |         44 |          0 |          4 |         48 |
| uni_modules\uni-card                                                                                                      |          3 |        122 |          0 |          9 |        131 |
| uni_modules\uni-collapse                                                                                                  |          3 |        131 |          0 |          6 |        137 |
| uni_modules\uni-combox                                                                                                    |          3 |        111 |          0 |          6 |        117 |
| uni_modules\uni-countdown                                                                                                 |          7 |        141 |          0 |          9 |        150 |
| uni_modules\uni-countdown (Files)                                                                                         |          3 |        115 |          0 |          5 |        120 |
| uni_modules\uni-countdown\components                                                                                      |          4 |         26 |          0 |          4 |         30 |
| uni_modules\uni-countdown\components\uni-countdown                                                                        |          4 |         26 |          0 |          4 |         30 |
| uni_modules\uni-countdown\components\uni-countdown\i18n                                                                   |          4 |         26 |          0 |          4 |         30 |
| uni_modules\uni-data-checkbox                                                                                             |          3 |        144 |          0 |          9 |        153 |
| uni_modules\uni-data-picker                                                                                               |          6 |        827 |         13 |         98 |        938 |
| uni_modules\uni-data-picker (Files)                                                                                       |          3 |        181 |          0 |         11 |        192 |
| uni_modules\uni-data-picker\components                                                                                    |          3 |        646 |         13 |         87 |        746 |
| uni_modules\uni-data-picker\components\uni-data-picker                                                                    |          1 |         42 |          3 |          1 |         46 |
| uni_modules\uni-data-picker\components\uni-data-pickerview                                                                |          2 |        604 |         10 |         86 |        700 |
| uni_modules\uni-data-select                                                                                               |          3 |        131 |          0 |          5 |        136 |
| uni_modules\uni-dateformat                                                                                                |          4 |        295 |          3 |         13 |        311 |
| uni_modules\uni-dateformat (Files)                                                                                        |          3 |        104 |          0 |          6 |        110 |
| uni_modules\uni-dateformat\components                                                                                     |          1 |        191 |          3 |          7 |        201 |
| uni_modules\uni-dateformat\components\uni-dateformat                                                                      |          1 |        191 |          3 |          7 |        201 |
| uni_modules\uni-datetime-picker                                                                                           |          8 |        652 |         60 |         57 |        769 |
| uni_modules\uni-datetime-picker (Files)                                                                                   |          3 |        259 |          0 |         12 |        271 |
| uni_modules\uni-datetime-picker\components                                                                                |          5 |        393 |         60 |         45 |        498 |
| uni_modules\uni-datetime-picker\components\uni-datetime-picker                                                            |          5 |        393 |         60 |         45 |        498 |
